imageid,imageType,model,loss,classType,colorMode,clean,crop,resize,colorCorrect,baseTrain,activation,wloss,lr,learningDecay,earlyStop,epochsMax,epochs,voting," trainTime"," accuracy"
1,ALL,vgg16,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,180.96860973799994,63
2,ALL,vgg16,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,161,0,145.34132077400045,75
3,ALL,vgg16,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,170,0,153.59436020900011,77
4,ALL,vgg16,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,125,0,113.63848251400032,75
5,ALL,vgg19,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,159,0,148.6569992679997,63
6,ALL,vgg19,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,105,0,98.02972177299944,61
7,ALL,vgg19,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,185.1892460879999,47
8,ALL,vgg19,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,152,0,140.47810980299982,63
9,ALL,inception,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,187.75022507700032,80
10,ALL,inception,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,148,0,140.489335923,83
11,ALL,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,167,0,154.5843672259989,86
12,ALL,inception,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,173,0,159.54114064900023,86
13,ALL,xception,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,185.27607516699936,83
14,ALL,xception,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,184.07978036799977,72
15,ALL,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,181.46108850699966,75
16,ALL,xception,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,184.96503932700034,75
17,ALL,resnet50,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,183.55940766499953,72
18,ALL,resnet50,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,187,0,172.12361805,83
19,ALL,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,154,0,141.95943285700014,80
20,ALL,resnet50,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,181.80809322300047,75
21,ALL,resnet101,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,135,0,142.22479699799987,77
22,ALL,resnet101,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,170,0,167.22487207599988,77
23,ALL,resnet101,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,171,0,172.06181543800085,77
24,ALL,resnet101,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,195.8059051199998,63
25,ALL,densenet,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,192.60297164800068,77
26,ALL,densenet,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,190.37576623099994,77
27,ALL,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,187.2336958470005,80
28,ALL,densenet,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,189.1031261900007,80
29,ALL,inceptionResnet,bce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,214.99090565900042,72
30,ALL,inceptionResnet,cce,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,208.64645872999972,63
31,ALL,inceptionResnet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,209.86427852500128,52
32,ALL,inceptionResnet,kld,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,211.05882235600075,66
33,NR,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,185,0,97.82409009099865,83
34,NR,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,106,0,56.5381375729994,66
35,NR,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,146,0,81.96443981300035,72
36,NR,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,182,0,91.89460937199874,72
37,R,inception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,98,0,53.775735324999914,77
38,R,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,200,0,97.82124437499988,38
39,R,densenet,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,135,0,73.66384677300084,77
40,R,xception,focal,multiclass,RGB,False,False,True,False,False,relu,True,0.001,False,True,200,140,0,74.16218359300001,72
41,NR,inception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,166,0,88.84775172400077,77
42,NR,densenet,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,108,0,64.8486291750014,77
43,NR,xception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,155,0,79.29971765500159,83
44,R,inception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,119,0,64.79589813199891,72
45,R,densenet,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,200,0,104.8712891920004,55
46,R,xception,focal,multiclass,RGB,True,False,True,False,False,relu,True,0.001,False,True,200,143,0,74.21864444600033,83
47,NR,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,102,0,59.47564836700076,77
48,NR,densenet,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,153,0,83.99496338400058,66
49,NR,xception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,200,0,99.70521333499892,88
50,R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,176,0,92.63287803700041,83
51,R,densenet,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,156,0,82.92143791800117,77
52,R,xception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,111,0,58.278405525999915,83
53,R,inception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,160,0,84.54302378699867,83
54,R,densenet,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,155,0,86.8338217490018,77
55,R,xception,focal,multiclass,RGB,True,True,True,False,False,leakyrelu,True,0.001,False,True,200,110,0,59.03355884700068,83
56,R,inception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,168,0,89.0880293989976,83
57,R,densenet,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,173,0,91.96505110100043,77
58,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,130,0,69.25641869300307,88
59,R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,10,77.82660263100001,77
